SN,Lastname,Firstname,Gender,Height,Weight,Passport ID,Country,Job Title,Income Annual,Hobby,Car Brand,Age,Num Covid Shots
29,Mcdonald,Marie,F,1.73,39.32,85200925M,Germany,Cloth-Shrinking-Machine-Operator Helper,11918,Walking,-,33.0,0.0
30,Freeman,James,M,1.65,87.69,26085274C,Italy,Personnel Recruiter,19938,Animal Care,-,27.0,1.0
31,Hodges,Linda,F,1.39,45.54,N8473290R,United Kingdom,Dust Box Worker,27000,Boating,-,39.0,0.0
32,Holland,Raymond,M,1.83,51.68,H4885077L,Latvia,Chemical Operator Iii,35260,Playing Music,-,17.0,1.0
33,Mcclain,Kayla,F,1.82,42.85,I0799565Z,Slovenia,"Supervisor, Tubing",54483,Computer Games,-,31.0,0.0
34,Beasley,Janet,F,1.39,49.58,R0552208E,Hungary,Parachute Inspector,31383,Sleeping,-,46.0,1.0
35,Oneal,Brittany,F,1.61,47.98,M1701956M,Latvia,"Supervisor, Asbestos Textile",34835,Camping,-,42.0,0.0
36,Houston,Marie,F,1.75,45.29,W7780158V,Ireland,Photocomposing-Perforator-Machine Operator,75303,Reading,-,24.0,1.0
37,Brooks,Ryan,M,1.94,49.12,58244841E,China,Wax Bleacher,83250,Horseback Riding,-,39.0,1.0
38,Stewart,Kayla,F,1.4,39.82,63877621P,United Kingdom,Lounge-Car Attendant,50401,Beach,-,36.0,1.0
39,Tyler,Michelle,F,1.68,51.35,C3244726X,Poland,Switchbox Assembler I,73180,Sleeping,Bentley,34.0,0.0
40,Fitzgerald,Angela,F,1.72,39.32,R9871870T,Mexico,"Metal-Spraying-Machine Operator, Automatic I",31403,Boating,-,36.0,0.0
41,Beasley,Eugene,M,1.94,57.74,06473151X,Egypt,Field Artillery Senior Sergeant,76256,Working on Cars,-,24.0,0.0
42,Weeks,Philip,M,1.92,52.22,05623630J,Lithuania,"Laborer, Landscape",84886,Camping,Bentley,24.0,1.0
43,Valenzuela,Martha,F,1.4,48.12,75373996A,Spain,"Butcher, Fish",17226,Eating Out,-,28.0,1.0
44,Lynch,Debra,F,1.6,39.32,J4155091E,Singapore,Clown,184664,Cooking,-,31.0,0.0
45,Mooney,Bradley,M,1.86,55.01,M9258154N,Croatia,"Outside Cutter, Hand",65658,Skiing,Suzuki,32.0,1.0
46,Berry,Judith,F,1.58,40.56,I5964493J,Germany,"Mixer, Foam Rubber",21130,Horseback Riding,-,25.0,0.0
47,Ellis,Linda,F,1.54,48.29,56090283M,Romania,Buzzsaw Operator,15053,Shopping,-,30.0,0.0
48,Fletcher,Susan,F,1.4,39.32,W8634450T,Belgium,"Mounter, Clock And Watch Hands",37023,Sewing,-,28.0,1.0
49,Middleton,Cynthia,F,1.61,39.32,37336534K,Thailand,Software Ninjaneer,54690,Golf,Citroen,27.0,1.0
50,House,Jean,F,1.49,49.73,47255336N,Finland,Drawing-In-Machine-Tender Helper,136397,Motorcycling,-,26.0,0.0
51,Compton,Victoria,F,1.73,52.44,B8950889Q,Czechia,Biochemistry Technologist,102443,Theater,-,42.0,2.0
52,Moon,Thomas,M,1.76,66.7,T4034661A,Luxembourg,Finish Patcher,36154,Beach,-,34.0,0.0
53,Whitfield,Julie,F,1.48,43.77,C6148938Z,Romania,Shipwright,38674,Swimming,-,31.0,0.0
54,Sosa,Zachary,M,1.92,48.36,L8335165O,Ireland,Ornamental-Iron-Worker Apprentice,101131,Team Sports,Renault,27.0,0.0
55,Strickland,Ronald,M,1.84,65.47,35929911B,France,"Photographer Apprentice, Lithographic",62519,Animal Care,-,28.0,0.0
56,Simon,Jerry,M,1.68,72.16,B7867976N,Chile,Sealing-Machine Operator,35954,Watching TV,-,23.0,0.0
57,Rich,Brandon,M,1.64,57.34,X7905314V,Luxembourg,Instrumentation Technician,121630,Socializing,-,35.0,2.0
58,Wheeler,Brittany,F,1.62,39.32,H8144860E,Saudi Arabia,Assembly Technician,91871,Hiking,Ram,33.0,1.0
59,Conley,Maria,F,1.64,39.32,I6385969E,United States of America,Dialysis Technician,23330,Tennis,-,34.0,0.0
60,Cruz,Christian,M,1.76,62.36,63951692H,Germany,Embossing Toolsetter,20331,Family Time,-,21.0,1.0
61,Lucas,Linda,F,1.59,47.57,O1329230R,Denmark,"Supervisor, Terrazzo",80782,Beach,-,32.0,1.0
62,Terrell,Sandra,F,1.82,39.32,D0410395N,India,Magneto Repairer,8189,Playing Cards,-,38.0,1.0
63,Mcgee,Daniel,M,1.68,69.89,T3323027U,Brazil,Batch Freezer,181630,Eating Out,Buick,36.0,1.0
64,Gordon,Billy,M,1.73,60.21,51340761T,Australia,Dialysis Technician,76740,Walking,-,22.0,0.0
65,Barnes,Linda,F,1.58,51.93,78554617M,Czechia,"Tailor Apprentice, Custom",33653,Skiing,-,35.0,0.0
66,Saunders,Joan,F,1.66,45.17,K0894653J,Estonia,Bearing-Ring Assembler,12249,Socializing,-,37.0,1.0
67,Bryan,Elizabeth,F,1.82,49.49,33202482L,Austria,Felt-Washing-Machine Tender,43325,Animal Care,Toyota,31.0,0.0
68,Justice,Judith,F,1.76,41.77,C4955073S,Greece,Signaler,25887,Dancing,-,38.0,0.0
69,Ortiz,Anthony,M,1.84,59.56,70899136C,Brazil,Milling Supervisor,99313,Animal Care,-,41.0,2.0
70,Mooney,Bruce,M,1.65,58.58,Z1666366H,Hungary,Line Maintainer,17578,Camping,-,19.0,1.0
71,Maynard,Arthur,M,1.73,62.53,39358348K,Croatia,Case Preparer-And-Liner,59830,Relaxing,-,30.0,1.0
72,Valentine,Jennifer,F,1.56,52.5,36849331H,Canada,Hydraulic-Chair Assembler,17393,Animal Care,-,31.0,1.0
73,Reilly,Joshua,M,1.88,48.36,02377147T,Mexico,Medical Laboratory Tech,18332,Watching Sports,-,30.0,2.0
74,Humphrey,Lauren,F,1.42,44.95,83626411I,Egypt,Photolettering-Machine Operator,35219,Watching TV,-,32.0,1.0
75,Mcleod,Jesse,M,1.8,58.3,81951927E,Romania,"Supervisor, Soaking Pits",8125,Writing,-,15.0,0.0
76,Richardson,Janet,F,1.71,45.51,I7455915Q,Germany,"Teacher, Preschool",49466,Writing,-,30.0,1.0
77,Cobb,Randy,M,1.53,55.24,57661285I,Slovakia,Kettle Tender Ii,69854,Billiards,General Motors,20.0,0.0
78,Slater,Carol,F,1.39,47.2,M3218412L,Australia,Engineering-Document-Control Clerk,7190,Camping,-,31.0,1.0
79,Waters,John,M,1.94,82.41,R1107099H,Poland,Medical-Equipment Repairer,106379,Camping,-,21.0,0.0
80,White,Dorothy,F,1.52,45.04,49528963Y,Chile,Steam Cleaner,109929,Playing Music,Lexus,22.0,1.0
81,Pruitt,Catherine,F,1.71,39.32,V8359858G,India,"Car-Wash Attendant, Automatic",139002,Beach,-,34.0,0.0
82,Jarvis,Roy,M,1.52,62.24,17454291J,Spain,Beautician,53319,Painting,-,25.0,0.0
83,Collier,Bruce,M,1.94,50.34,F1688252D,Italy,User Support Analyst,38716,Family Time,-,37.0,1.0
84,Huff,Russell,M,1.83,48.36,56774225K,France,Core-Cutter And Reamer,18994,Exercise,-,38.0,1.0
85,Wilder,Jose,M,1.94,56.45,V8906943Z,Latvia,Property-Disposal Officer,37831,Writing,-,25.0,0.0
86,Bond,Jerry,M,1.83,48.36,J0276751P,South Africa,Mental Health Counselor,44232,Skiing,-,26.0,1.0
87,Craft,Roger,M,1.94,60.46,C8439409C,Czechia,Tester,10092,Going to Movies,-,26.0,0.0
88,Winters,Zachary,M,1.93,54.88,E1161128R,Estonia,Tufter,20419,Beach,-,24.0,0.0
89,Boyle,Joan,F,1.66,39.32,K8171881N,Slovakia,"Supervisor, Circus",7560,Playing Cards,-,37.0,1.0
90,Guthrie,Ralph,M,1.93,67.23,J8096507P,Indonesia,"Inspector, Boiler",65407,Billiards,Saab,35.0,0.0
91,Russo,Albert,M,1.57,48.36,36396725B,Germany,Self-Sealing-Fuel-Tank Repairer,50071,Reading,-,38.0,0.0
92,Velez,Wayne,M,1.73,75.58,I6894351P,Hungary,Necker,20713,Swimming,-,30.0,1.0
93,Herman,Justin,M,1.52,58.66,R3778814S,Slovakia,Storage-Facility Rental Clerk,101349,Bowling,-,21.0,0.0
94,Mccarthy,Alan,M,1.94,69.57,J6465327K,Canada,Compo Caster,21220,Bicycling,-,31.0,0.0
95,Hutchinson,Tyler,M,1.52,48.36,Q7946646Z,France,Bricklayer Apprentice,47705,Bicycling,-,25.0,1.0
96,Gay,Brenda,F,1.69,44.42,43233753T,Indonesia,Marine Railway Operator,11409,Running,-,41.0,1.0
97,Klein,Gregory,M,1.62,73.51,V6236603H,Russia,"Supervisor, Inspecting",13825,Playing Cards,-,23.0,1.0
98,Baird,Donald,M,1.94,68.84,60998534D,Ireland,Millwright Apprentice,136450,Entertaining,Volkswagen,30.0,0.0
99,Oneil,Helen,F,1.39,49.21,T0333011B,Egypt,"Lawyer, Probate",27565,Animal Care,-,25.0,0.0
100,Pollard,Christopher,M,1.62,65.57,09109542S,Luxembourg,Sales Exhibitor,42267,Working on Cars,-,23.0,0.0
101,Hood,Teresa,F,1.57,42.15,66145966J,France,Maintenance-Mechanic Helper,64896,Reading,-,40.0,1.0
102,Williamson,George,M,1.68,62.63,A5286277Q,Russia,Tape-Making-Machine Operator,18375,Billiards,-,20.0,0.0
103,Espinoza,Alexander,M,1.52,48.36,G3600668X,Poland,Load Dispatcher,12883,Running,-,21.0,1.0
104,Cleveland,Dorothy,F,1.55,58.05,H1097509K,United States of America,"Assembler, Insulation And Flooring",67262,Hunting,-,34.0,0.0
105,Fitzpatrick,Gloria,F,1.45,45.23,Z9383812N,China,"Transporter, Patients",27752,Team Sports,-,34.0,1.0
106,Anderson,Charles,M,1.94,53.41,S7680809F,Turkey,Waxer,79601,Watching Sports,Peugeot,18.0,0.0
107,Guthrie,Charles,M,1.94,73.1,W9571747B,Thailand,Screen-Room Operator,13029,Dancing,-,30.0,1.0
108,House,Joyce,F,1.62,41.1,40886661R,Ireland,"Research Engineer, Marine Equipment",59381,Fishing,-,45.0,1.0
109,Morris,Joan,F,1.6,40.71,I6798142D,Czechia,Sheet Turner,35391,Eating Out,-,31.0,0.0
110,Pickett,Olivia,F,1.53,48.38,C0823385L,Germany,Opener Tender,11215,Golf,-,42.0,1.0
111,Phelps,Kathryn,F,1.73,39.32,K6921765T,India,"Armhole Baster, Jumpbasting",44644,Bowling,-,27.0,1.0
112,Mason,Hannah,F,1.55,42.68,Y4690055W,Brazil,Box-Sealing-Machine Operator,94317,Going to Movies,-,28.0,1.0
113,Stewart,Ralph,M,1.67,56.76,I5931706Z,Slovakia,Refrigerating Engineer,40869,Working on Cars,-,19.0,0.0
114,Hayden,Juan,M,1.94,61.38,B3110213K,Finland,Grinding-Wheel Inspector,55872,Bowling,-,25.0,0.0
115,Tyson,Russell,M,1.87,65.62,04463305V,Sweden,"Card Lacer, Jacquard",69373,Writing,Saab,35.0,0.0
116,Flowers,Elizabeth,F,1.39,39.32,W7244235C,Greece,Model Maker Ii,9668,Listening to Music,-,33.0,0.0
117,Whitfield,Rebecca,F,1.82,39.32,26638254J,Italy,"Inspector, Glass Or Mirror",150293,Entertaining,Hyundai,29.0,0.0
118,Butler,Emily,F,1.66,48.07,E3073243F,Greece,"Taper, Machine",64365,Computer Games,-,36.0,0.0
119,Warner,Helen,F,1.56,39.32,F8152954K,Malta,Cellar Supervisor,15332,Traveling,-,36.0,1.0
120,Bates,Bryan,M,1.88,59.75,B8538996R,Netherlands,Grading Clerk,79893,Going to Movies,-,21.0,1.0
121,Sanford,Sara,F,1.65,39.32,K6646647O,Germany,Bed Rubber,27919,Motorcycling,-,29.0,0.0
122,Dickerson,Ronald,M,1.56,49.93,A1496811F,Austria,"Supervisor, Paint Department",44596,Sewing,-,25.0,0.0
123,Juarez,Melissa,F,1.7,44.79,13531931C,South Africa,Insulator Tester,20722,Beach,-,28.0,1.0
124,Knapp,Emily,F,1.61,45.96,M8797787X,Chile,Flumer,58199,Family Time,Chevrolet,27.0,2.0
125,Chapman,Lauren,F,1.57,43.92,L1498905H,South Africa,Leasing-Machine Tender,20049,Computer Games,-,33.0,1.0
126,Goodman,Andrea,F,1.64,59.91,R6610540E,South Korea,Decorating-And-Assembly Supervisor,20591,Fishing,-,25.0,1.0
127,Fisher,Janet,F,1.47,42.52,L8235068U,Latvia,Production Supervisor,18747,Listening to Music,-,37.0,1.0
128,Peters,Keith,M,1.85,58.22,09048364E,Slovenia,Photograph Retoucher,86406,Working on Cars,Acura,19.0,1.0
129,Brown,Pamela,F,1.66,44.62,B7042686D,Japan,Quality Engineer,12714,Horseback Riding,-,28.0,1.0
130,Jacobson,Lori,F,1.39,57.62,O2254366O,Hungary,Third-Rail Installer,93305,Horseback Riding,-,30.0,1.0
131,Day,Christine,F,1.74,39.32,82765301Q,Australia,Stain Applicator,169282,Family Time,-,38.0,1.0
132,Hayes,Madison,F,1.82,46.55,D0609532M,Slovenia,Stencil-Machine Operator,7203,Walking,-,27.0,1.0
133,Stephens,Scott,M,1.94,80.79,Q7741658N,Sweden,Roofer,85712,Watching TV,-,37.0,1.0
134,Shelton,Nancy,F,1.71,39.32,E6116522V,Denmark,Roofing-Machine Operator,23814,Team Sports,-,39.0,0.0
135,Small,Albert,M,1.65,48.36,09748732H,United States of America,Rivet Heater,12467,Writing,-,38.0,2.0
136,Odom,Gary,M,1.88,55.96,44173082C,Slovakia,Laboratory-Sample Carrier,24251,Hiking,-,15.0,1.0
137,Duran,Rebecca,F,1.71,48.32,G4626087X,Brazil,Buzzsaw Operator,44872,Bicycling,-,34.0,1.0
138,Jensen,Henry,M,1.56,67.77,V5185290B,Japan,Magazine Repairer,7117,Housework,-,36.0,0.0
139,Matthews,Joan,F,1.82,39.32,Y7928798C,Egypt,Golf-Range Attendant,15717,Swimming,-,32.0,1.0
140,Santos,George,M,1.56,61.46,E6313752J,Malta,Photoengraver Apprentice,10084,Watching Sports,-,25.0,1.0
141,Cherry,Denise,F,1.68,39.32,48872820X,Sweden,Cigarette-Making-Machine Operator,20845,Writing,-,33.0,2.0
142,Richards,Kathleen,F,1.56,51.9,X8754299O,Romania,"Laborer, Syrup Machine",6043,Writing,-,36.0,1.0
143,Howell,Edward,M,1.66,60.96,K2898554J,United States of America,"Offbearer, Pipe Smoking Machine",76560,Fishing,-,31.0,0.0
144,Ratliff,Bryan,M,1.9,66.82,X7022378E,Saudi Arabia,Record Clerk,22285,Socializing,-,42.0,1.0
145,Vargas,Cynthia,F,1.55,58.42,X1136076H,Germany,Dredge Operator Supervisor,30237,Horseback Riding,-,41.0,1.0
146,Raymond,Austin,M,1.77,48.36,18706446Q,Netherlands,Deflash And Wash Operator,23286,Walking,-,18.0,0.0
147,Gomez,Jose,M,1.73,55.7,45373775Q,Japan,Dresser,62478,Walking,-,30.0,0.0
148,Shelton,Samuel,M,1.64,62.46,Z2969624Z,Thailand,Magazine Supervisor,17371,Team Sports,-,34.0,1.0
149,Espinoza,Paul,M,1.53,69.71,62855850V,Senegal,Design Assembler,34314,Fishing,-,36.0,0.0
150,Byrd,Rose,F,1.58,39.32,Y7097694Y,France,Test Driver I,22876,Boating,-,18.0,0.0
151,Chen,Matthew,M,1.88,71.91,F1279909G,South Korea,"Touch-Up Painter, Hand",18761,Reading,-,23.0,0.0
152,Dixon,Matthew,M,1.93,48.36,I8518240L,Poland,Pipe Stripper,92449,Bicycling,Bugatti,41.0,1.0
153,Robbins,Justin,M,1.83,62.83,10956636G,Canada,Mine-Car Repairer,54844,Hunting,Geely,37.0,1.0
154,Guzman,Lawrence,M,1.94,70.72,S3935185I,Finland,"Inspector, Automatic Typewriter",21127,Exercise,-,26.0,1.0
155,Brooks,Heather,F,1.66,47.85,77255205B,Vietnam,Masking-Machine Operator,131853,Socializing,-,33.0,1.0
156,Patterson,Alexis,F,1.66,39.32,X2166984P,Romania,Passenger Service Representative Ii,11225,Watching TV,-,30.0,0.0
157,Pitts,Arthur,M,1.66,54.41,B0185630K,Bulgaria,Papier Mache Molder,22734,Bowling,-,34.0,1.0
158,Logan,Ashley,F,1.59,39.32,X9232860Q,Italy,Pounder,14798,Crafts,-,34.0,0.0
159,Knowles,Samuel,M,1.91,48.36,83246665Q,Brazil,Printing-Roller Polisher,21680,Housework,-,23.0,0.0
160,Allen,Alan,M,1.94,54.26,84119917J,China,Insulator Tester,40359,Hunting,Audi,24.0,0.0
161,Pacheco,Amber,F,1.7,46.35,25149061G,United States of America,Monogram-And-Letter Paster,19311,Volunteer Work,-,38.0,0.0
162,Shepherd,Nancy,F,1.66,44.53,N1487661J,Canada,"Offbearer, Pipe Smoking Machine",86403,Billiards,Land Rover,32.0,0.0
163,Perkins,George,M,1.6,63.76,17921424D,Japan,Electric-Sealing-Machine Operator,7309,Running,-,15.0,1.0
164,Avila,Kayla,F,1.61,51.83,41445132K,Mexico,"Drier, Belt Conveyor",21174,Going to Movies,-,23.0,0.0
165,Burt,Frances,F,1.57,39.32,K7341488X,France,"Illustrator, Medical And Scientific",129442,Housework,-,29.0,2.0
166,Waller,Richard,M,1.52,72.37,A4689344X,Lithuania,Tape-Folding-Machine Operator,9068,Sleeping,-,31.0,1.0
167,Perez,Katherine,F,1.48,41.61,T3827035A,Latvia,Planer Operator,39537,Hunting,-,39.0,2.0
168,Holland,Ronald,M,1.75,65.59,D1185606P,Australia,Plastics-Spreading-Machine Operator,29152,Reading,-,33.0,0.0
169,Mclaughlin,Daniel,M,1.83,67.08,R5672119I,United States of America,"Repairer, Heavy",17256,Walking,-,34.0,1.0
170,Ball,Kimberly,F,1.39,49.85,J1146958H,United Kingdom,Calender Supervisor,51088,Swimming,Audi,42.0,1.0
171,Bradford,Jane,F,1.78,52.51,O4597301Z,Bulgaria,Humidifier Operator,25338,Hiking,-,28.0,0.0
172,Hendrix,Hannah,F,1.49,39.32,B6911413U,Egypt,Tongue Presser,45786,Motorcycling,Nissan,30.0,0.0
173,Warner,Kayla,F,1.69,58.74,H9762436B,France,Police Officer Iii,17024,Volunteer Work,-,32.0,1.0
174,Stuart,Hannah,F,1.58,39.32,H9422331Q,Argentina,Roller-Machine Operator,80076,Eating Out,-,26.0,0.0
175,Valencia,Heather,F,1.68,58.26,55122764E,Finland,Press Offbearer,13880,Eating Out,-,23.0,1.0
176,Beasley,Lori,F,1.63,42.9,12817442I,Belgium,Rate Supervisor,8694,Relaxing,-,37.0,0.0
177,Hamilton,Jean,F,1.82,43.25,R2198931F,Vietnam,Glue-Size-Machine Operator,151515,Walking,TATA Motors,36.0,1.0
178,Benson,Rose,F,1.65,39.32,84345617N,Thailand,Yarn-Polishing-Machine Operator,81099,Running,-,42.0,1.0
179,Rich,Harold,M,1.94,55.72,48511666F,Italy,Warp-Yarn Sorter,94645,Team Sports,-,24.0,1.0
180,Nichols,Mark,M,1.66,58.47,C9604416H,Indonesia,Jacquard-Twine-Polisher Operator,52510,Sewing,-,30.0,0.0
181,Joseph,Judith,F,1.82,46.49,D1588783Q,Thailand,"Buffer, Automatic",20011,Beach,-,29.0,0.0
182,Williams,John,M,1.78,48.36,B4745390B,Cyprus,"Supervisor, Aluminum Fabrication",90276,Watching Sports,-,22.0,0.0
183,Calhoun,Ronald,M,1.89,49.96,28700966Y,Japan,Clock Assembler,7740,Camping,-,25.0,0.0
184,Farmer,Paul,M,1.75,69.52,19122337K,Turkey,Button-And-Buckle Maker,7005,Entertaining,-,31.0,1.0
185,Zamora,Amanda,F,1.47,39.32,V0897224R,Japan,Shear Operator Ii,22823,Boating,-,31.0,1.0
186,Simon,Jason,M,1.68,69.37,04179761A,Slovenia,Refiner,6293,Playing Music,-,26.0,0.0
187,Marsh,Grace,F,1.59,48.3,69707192X,Indonesia,Flaker Operator,46304,Fishing,Porsche,35.0,1.0
188,Davenport,Benjamin,M,1.78,67.33,35765887Y,Russia,Dialysis Technician,16181,Motorcycling,-,25.0,0.0
189,Roach,Anthony,M,1.94,87.71,41342087E,Malta,Holter Scanning Technician,30267,Walking,-,33.0,1.0
190,Cantrell,Rose,F,1.59,39.32,Y1949441Y,Latvia,"Controls Operator, Molded Goods",65332,Beach,-,39.0,1.0
191,Cannon,Jose,M,1.86,59.53,P7921040T,Czechia,Spring Coverer,9535,Fishing,-,32.0,1.0
192,Adams,Hannah,F,1.63,55.22,70717041V,France,Medical Record Technician,25253,Tennis,-,32.0,2.0
193,Hancock,Cynthia,F,1.44,59.49,42191543T,Romania,Surgeon,105915,Skiing,-,22.0,0.0
194,Nunez,Beverly,F,1.8,46.85,D6598739U,Spain,"Supervisor, Component Assembler",5891,Shopping,-,34.0,1.0
195,Jimenez,Christine,F,1.56,48.05,11621007F,Poland,Print Controller,32325,Camping,-,34.0,2.0
196,Crane,Cynthia,F,1.53,42.38,55521685D,Croatia,Drier,32942,Gardening,-,36.0,0.0
197,Christensen,Eric,M,1.79,54.16,H0788548R,Greece,Forge-Shop-Machine Repairer,20969,Going to Movies,-,23.0,0.0
198,Carter,Gregory,M,1.78,74.82,R8880440T,Indonesia,Valve Maker Ii,21000,Motorcycling,-,34.0,0.0
199,Mckenzie,Douglas,M,1.59,76.12,U4150729I,Japan,"Salesperson, Infants' And Children'S Wear",9282,Theater,-,36.0,1.0
200,Vargas,Natalie,F,1.82,47.05,S5857519Y,Portugal,"Row Boss, Hoeing",8156,Sewing,-,34.0,0.0
201,Farmer,Robert,M,1.52,55.07,T5535248A,Portugal,"Trimmer, Machine I",104769,Working on Cars,-,29.0,0.0
202,Justice,Jennifer,F,1.58,50.85,E3652577T,Finland,Mold Filler,36657,Camping,-,39.0,0.0
203,May,Daniel,M,1.63,66.3,H5286532H,Hungary,Making-Line Worker,7257,Painting,-,24.0,1.0
204,Mccall,Barbara,F,1.5,55.9,Z3346185T,Denmark,Wire Repairer,34645,Watching TV,-,25.0,1.0
205,Munoz,Sharon,F,1.7,45.79,O7830436S,Chile,Customer Service,14131,Eating Out,-,27.0,0.0
206,Bond,Dennis,M,1.78,50.2,P5648656T,Turkey,Furnace-Combustion Analyst,19130,Exercise,-,22.0,1.0
207,Paul,Jose,M,1.82,69.15,L8596424A,Finland,"Fabricator, Artificial Breast",17854,Horseback Riding,-,23.0,0.0
208,Ferrell,Diane,F,1.39,42.35,38158256X,Hungary,"Cooking, Casing, And Drying Supervisor",9312,Team Sports,-,32.0,2.0
209,Nieves,Theresa,F,1.7,52.63,19398993O,Czechia,"Upholsterer, Assembly Line",35690,Tennis,-,37.0,1.0
210,Moody,Aaron,M,1.94,48.36,V3299726C,Slovenia,Hose-Tubing Backer,13913,Swimming,-,16.0,1.0
211,Charles,Janet,F,1.51,39.32,42610945N,Austria,Rubber-Stamp Maker,18623,Camping,-,34.0,0.0
212,York,Joshua,M,1.84,48.36,57256807G,Hungary,"Welt-Butter, Hand",39408,Playing Cards,-,29.0,0.0
213,Harmon,Samuel,M,1.88,78.96,41955839W,United Kingdom,Casing Tier,11764,Hunting,-,24.0,1.0
214,Mckinney,Ronald,M,1.83,80.29,G8760751R,Singapore,"Grinder, Carbon Plant",57443,Crafts,Ram,34.0,1.0
215,Witt,Sean,M,1.9,63.39,I9709454P,Bulgaria,Greens Tier,8207,Camping,-,23.0,0.0
216,Fitzgerald,Mark,M,1.89,48.98,71180484T,Argentina,"Wire-Photo Operator, News",5389,Bicycling,-,39.0,0.0
217,Simpson,Ryan,M,1.63,69.46,A7908339K,Brazil,Bell Maker,29683,Housework,-,27.0,1.0
218,Morris,Brenda,F,1.51,49.08,71087615W,Singapore,Marking Stitcher,49385,Billiards,Renault,35.0,1.0
219,Willis,Joshua,M,1.78,76.49,43560472J,Finland,Case Preparer-And-Liner,7899,Housework,-,26.0,1.0
220,Lewis,Albert,M,1.79,85.9,N8880194O,Italy,Disc-Pad Grinding Machine Feeder,22968,Volunteer Work,-,31.0,0.0
221,Good,Juan,M,1.94,57.54,D8115300Y,France,Drum Attendant,29198,Going to Movies,-,32.0,1.0
222,Nguyen,Anna,F,1.39,58.33,Q9082980H,Slovakia,Corrective Therapist,23925,Bicycling,-,30.0,0.0
223,Branch,Benjamin,M,1.64,59.76,R0400938A,Netherlands,Barrel-Dedenting-Machine Operator,71911,Shopping,Dodge,23.0,1.0
